invocation_order,invocation_id,case_id,group,case_control,repo_name,pr_number,task_type,output_relpath
156,rq3-156-case-26052da343b4084fccf7,case-26052da343b4084fccf7,ai,positive,azerothcore/azerothcore-wotlk,22351,fix,invocations/rq3-156-case-26052da343b4084fccf7
157,rq3-157-case-61426f0adcf2ca112e1d,case-61426f0adcf2ca112e1d,ai,control,OpenHFT/Chronicle-Wire,1093,refactor,invocations/rq3-157-case-61426f0adcf2ca112e1d
158,rq3-158-case-f81566b1a6263aebc2fc,case-f81566b1a6263aebc2fc,ai,positive,getsentry/sentry,93304,feat,invocations/rq3-158-case-f81566b1a6263aebc2fc
159,rq3-159-case-6bf52025747941db38d4,case-6bf52025747941db38d4,ai,positive,novuhq/novu,8613,fix,invocations/rq3-159-case-6bf52025747941db38d4
160,rq3-160-case-eb681d918af8f53202fa,case-eb681d918af8f53202fa,human,positive,OpenHFT/Chronicle-Wire,1092,refactor,invocations/rq3-160-case-eb681d918af8f53202fa
161,rq3-161-case-f465152400330d659f37,case-f465152400330d659f37,ai,control,chrxh/alien,130,refactor,invocations/rq3-161-case-f465152400330d659f37
162,rq3-162-case-ec595a9d4a209dd1c064,case-ec595a9d4a209dd1c064,ai,positive,jina-ai/node-DeepResearch,8,feat,invocations/rq3-162-case-ec595a9d4a209dd1c064
163,rq3-163-case-b46393c556b0e1ab8e03,case-b46393c556b0e1ab8e03,human,positive,crewAIInc/crewAI,1986,fix,invocations/rq3-163-case-b46393c556b0e1ab8e03
164,rq3-164-case-e9af381d5691c745b01d,case-e9af381d5691c745b01d,ai,control,openai/openai-agents-python,811,feat,invocations/rq3-164-case-e9af381d5691c745b01d
165,rq3-165-case-92bf2b6fee0cab272d63,case-92bf2b6fee0cab272d63,ai,positive,mendableai/firecrawl,1851,feat,invocations/rq3-165-case-92bf2b6fee0cab272d63
166,rq3-166-case-15fca550df7f9ba029d9,case-15fca550df7f9ba029d9,ai,positive,OpenHFT/Chronicle-Wire,1061,refactor,invocations/rq3-166-case-15fca550df7f9ba029d9
167,rq3-167-case-e4c28aef9d898cad9641,case-e4c28aef9d898cad9641,ai,control,samayo/country-json,278,feat,invocations/rq3-167-case-e4c28aef9d898cad9641
168,rq3-168-case-525cca57fa45a53cdf40,case-525cca57fa45a53cdf40,ai,control,jina-ai/node-DeepResearch,5,refactor,invocations/rq3-168-case-525cca57fa45a53cdf40
169,rq3-169-case-3627763b793cf921a336,case-3627763b793cf921a336,human,control,thirdweb-dev/js,6551,feat,invocations/rq3-169-case-3627763b793cf921a336
170,rq3-170-case-1aaea7ba84a2f17638de,case-1aaea7ba84a2f17638de,ai,positive,ibelick/zola,185,feat,invocations/rq3-170-case-1aaea7ba84a2f17638de
171,rq3-171-case-e81abc2d4c6f476893c2,case-e81abc2d4c6f476893c2,human,control,prebid/Prebid.js,13391,fix,invocations/rq3-171-case-e81abc2d4c6f476893c2
172,rq3-172-case-1bd23fd02f55f8ceb10d,case-1bd23fd02f55f8ceb10d,human,positive,bespokelabsai/curator,445,feat,invocations/rq3-172-case-1bd23fd02f55f8ceb10d
173,rq3-173-case-d316f6c41322a9e21b99,case-d316f6c41322a9e21b99,ai,positive,featureform/enrichmcp,120,feat,invocations/rq3-173-case-d316f6c41322a9e21b99
174,rq3-174-case-fd1bb152abf59358660e,case-fd1bb152abf59358660e,human,positive,mlflow/mlflow,14265,feat,invocations/rq3-174-case-fd1bb152abf59358660e
175,rq3-175-case-2aff113b02718d12fa5c,case-2aff113b02718d12fa5c,human,control,antiwork/shortest,363,fix,invocations/rq3-175-case-2aff113b02718d12fa5c
176,rq3-176-case-b0fb6829dda02eb08ec0,case-b0fb6829dda02eb08ec0,ai,positive,Significant-Gravitas/AutoGPT,10483,fix,invocations/rq3-176-case-b0fb6829dda02eb08ec0
177,rq3-177-case-de715ff30c32d51c5df9,case-de715ff30c32d51c5df9,ai,positive,Azure/azure-sdk-for-python,41852,fix,invocations/rq3-177-case-de715ff30c32d51c5df9
178,rq3-178-case-a312421c7f686d168d04,case-a312421c7f686d168d04,ai,positive,NewFuture/DDNS,537,refactor,invocations/rq3-178-case-a312421c7f686d168d04
179,rq3-179-case-501f4049215a852666e2,case-501f4049215a852666e2,ai,positive,jina-ai/node-DeepResearch,28,feat,invocations/rq3-179-case-501f4049215a852666e2
180,rq3-180-case-376baaaedc0c65b1cc07,case-376baaaedc0c65b1cc07,human,positive,onlook-dev/onlook,1366,fix,invocations/rq3-180-case-376baaaedc0c65b1cc07
181,rq3-181-case-620175c9a99c49119a2d,case-620175c9a99c49119a2d,human,positive,OpenHFT/Java-Thread-Affinity,178,refactor,invocations/rq3-181-case-620175c9a99c49119a2d
182,rq3-182-case-ca17bd7389a0f6607c96,case-ca17bd7389a0f6607c96,human,positive,cameroncooke/XcodeBuildMCP,62,feat,invocations/rq3-182-case-ca17bd7389a0f6607c96
183,rq3-183-case-83f2a806231ce243a56f,case-83f2a806231ce243a56f,ai,positive,Shelf-nu/shelf.nu,1905,feat,invocations/rq3-183-case-83f2a806231ce243a56f
184,rq3-184-case-f912cdc0fdea1d02105f,case-f912cdc0fdea1d02105f,ai,control,Azure/azure-sdk-for-python,41942,fix,invocations/rq3-184-case-f912cdc0fdea1d02105f
185,rq3-185-case-210bb7200d289a3d2aa0,case-210bb7200d289a3d2aa0,ai,control,crewAIInc/crewAI,1923,feat,invocations/rq3-185-case-210bb7200d289a3d2aa0
186,rq3-186-case-d76dbaa9ee6c731f26bb,case-d76dbaa9ee6c731f26bb,human,control,wolfSSL/wolfssl,8854,feat,invocations/rq3-186-case-d76dbaa9ee6c731f26bb
187,rq3-187-case-2f0bf603687d1eee9d5c,case-2f0bf603687d1eee9d5c,ai,positive,3rdIteration/btcrecover,611,feat,invocations/rq3-187-case-2f0bf603687d1eee9d5c
188,rq3-188-case-2a05c6f1f5871c732fc9,case-2a05c6f1f5871c732fc9,ai,control,microsoft/typespec,8008,fix,invocations/rq3-188-case-2a05c6f1f5871c732fc9
189,rq3-189-case-e7abb649407ce2a06e66,case-e7abb649407ce2a06e66,ai,positive,liam-hq/liam,1880,feat,invocations/rq3-189-case-e7abb649407ce2a06e66
190,rq3-190-case-165e7025bc0ca85902b7,case-165e7025bc0ca85902b7,human,positive,CapSoftware/Cap,484,feat,invocations/rq3-190-case-165e7025bc0ca85902b7
191,rq3-191-case-faac3cfabce2584d7a03,case-faac3cfabce2584d7a03,ai,positive,langfuse/langfuse,7731,fix,invocations/rq3-191-case-faac3cfabce2584d7a03
192,rq3-192-case-9a3caf429ad89e36d4f9,case-9a3caf429ad89e36d4f9,ai,positive,microsoft/autogen,6684,feat,invocations/rq3-192-case-9a3caf429ad89e36d4f9
193,rq3-193-case-614e7b1427a1306c4e95,case-614e7b1427a1306c4e95,human,positive,prebid/Prebid.js,13429,feat,invocations/rq3-193-case-614e7b1427a1306c4e95
194,rq3-194-case-781243d89e391c3fb5dd,case-781243d89e391c3fb5dd,human,positive,OpenPipe/ART,51,feat,invocations/rq3-194-case-781243d89e391c3fb5dd
195,rq3-195-case-be4814e7e2c136ec014f,case-be4814e7e2c136ec014f,ai,positive,prebid/Prebid.js,13167,refactor,invocations/rq3-195-case-be4814e7e2c136ec014f
196,rq3-196-case-0737af73e1a18998c5a2,case-0737af73e1a18998c5a2,ai,positive,marimo-team/marimo,3840,refactor,invocations/rq3-196-case-0737af73e1a18998c5a2
197,rq3-197-case-31359bc417febbc38cfc,case-31359bc417febbc38cfc,ai,positive,basetenlabs/truss,1679,feat,invocations/rq3-197-case-31359bc417febbc38cfc
198,rq3-198-case-8e80f8f75b18fc1f2c20,case-8e80f8f75b18fc1f2c20,human,positive,crewAIInc/crewAI,2731,fix,invocations/rq3-198-case-8e80f8f75b18fc1f2c20
199,rq3-199-case-6bb65ffd9cdede1d6b6b,case-6bb65ffd9cdede1d6b6b,human,positive,OpenHFT/Chronicle-Wire,1170,feat,invocations/rq3-199-case-6bb65ffd9cdede1d6b6b
200,rq3-200-case-8021d18f5efd78f0cc50,case-8021d18f5efd78f0cc50,human,control,crewAIInc/crewAI,2169,feat,invocations/rq3-200-case-8021d18f5efd78f0cc50
201,rq3-201-case-ee699d86c0aab7ef23c9,case-ee699d86c0aab7ef23c9,human,control,box/box-ui-elements,3930,feat,invocations/rq3-201-case-ee699d86c0aab7ef23c9
202,rq3-202-case-43645709b6ff2623e8d8,case-43645709b6ff2623e8d8,human,positive,bentoml/BentoML,5317,fix,invocations/rq3-202-case-43645709b6ff2623e8d8
203,rq3-203-case-162c30563cd0fe89d803,case-162c30563cd0fe89d803,ai,positive,microsoft/autogen,6690,feat,invocations/rq3-203-case-162c30563cd0fe89d803
204,rq3-204-case-7c75f021c35395eadfeb,case-7c75f021c35395eadfeb,ai,control,featureform/enrichmcp,90,feat,invocations/rq3-204-case-7c75f021c35395eadfeb
205,rq3-205-case-79e114ffc3cc4f095ea9,case-79e114ffc3cc4f095ea9,ai,positive,jina-ai/node-DeepResearch,3,refactor,invocations/rq3-205-case-79e114ffc3cc4f095ea9
206,rq3-206-case-ed5b3f75ec8a328974da,case-ed5b3f75ec8a328974da,ai,positive,OpenHFT/Chronicle-Wire,1058,refactor,invocations/rq3-206-case-ed5b3f75ec8a328974da
207,rq3-207-case-b8af4d9b4865f25701f6,case-b8af4d9b4865f25701f6,human,positive,Netflix/metaflow,2207,feat,invocations/rq3-207-case-b8af4d9b4865f25701f6
208,rq3-208-case-22b5befc227597e10e1c,case-22b5befc227597e10e1c,ai,control,prebid/Prebid.js,13136,fix,invocations/rq3-208-case-22b5befc227597e10e1c
209,rq3-209-case-244866c4d24233d35c00,case-244866c4d24233d35c00,ai,positive,langchain-ai/langsmith-sdk,1782,fix,invocations/rq3-209-case-244866c4d24233d35c00
210,rq3-210-case-2480a35206f87bbbe5d3,case-2480a35206f87bbbe5d3,ai,positive,Significant-Gravitas/AutoGPT,10064,feat,invocations/rq3-210-case-2480a35206f87bbbe5d3
211,rq3-211-case-f43ddbe01d48c57e3d09,case-f43ddbe01d48c57e3d09,human,positive,AgentOps-AI/agentops,823,fix,invocations/rq3-211-case-f43ddbe01d48c57e3d09
212,rq3-212-case-2ae54e3d2402891653c9,case-2ae54e3d2402891653c9,ai,control,getsentry/sentry,94169,feat,invocations/rq3-212-case-2ae54e3d2402891653c9
213,rq3-213-case-531a14c51b5c84477849,case-531a14c51b5c84477849,human,positive,crewAIInc/crewAI,2948,fix,invocations/rq3-213-case-531a14c51b5c84477849
214,rq3-214-case-8c23b92c89e208d5060f,case-8c23b92c89e208d5060f,ai,positive,wandb/weave,4549,feat,invocations/rq3-214-case-8c23b92c89e208d5060f
215,rq3-215-case-3f20570dc7a7eb7615c6,case-3f20570dc7a7eb7615c6,human,positive,crewAIInc/crewAI,2816,feat,invocations/rq3-215-case-3f20570dc7a7eb7615c6
216,rq3-216-case-da5e5e38a1e97800e43f,case-da5e5e38a1e97800e43f,ai,control,OpenPipe/ART,151,fix,invocations/rq3-216-case-da5e5e38a1e97800e43f
217,rq3-217-case-5f4c438794b17fe2dd2c,case-5f4c438794b17fe2dd2c,ai,positive,mlflow/mlflow,16909,fix,invocations/rq3-217-case-5f4c438794b17fe2dd2c
218,rq3-218-case-d837fc6cbd4f56478413,case-d837fc6cbd4f56478413,ai,control,pdfme/pdfme,758,fix,invocations/rq3-218-case-d837fc6cbd4f56478413
219,rq3-219-case-cdcb44d35c9fd57cf181,case-cdcb44d35c9fd57cf181,ai,positive,robinkarlberg/transfer.zip-web,36,feat,invocations/rq3-219-case-cdcb44d35c9fd57cf181
220,rq3-220-case-4a764f3847aeba71b091,case-4a764f3847aeba71b091,ai,positive,Skyvern-AI/skyvern,2435,feat,invocations/rq3-220-case-4a764f3847aeba71b091
221,rq3-221-case-c07871a51a27de6dbd30,case-c07871a51a27de6dbd30,human,control,crewAIInc/crewAI,2009,refactor,invocations/rq3-221-case-c07871a51a27de6dbd30
222,rq3-222-case-72f34ef0f483fa5dc4a2,case-72f34ef0f483fa5dc4a2,human,control,microsoft/typespec,7766,feat,invocations/rq3-222-case-72f34ef0f483fa5dc4a2
223,rq3-223-case-6941800e5dad967c8891,case-6941800e5dad967c8891,human,positive,Skyvern-AI/skyvern,2231,feat,invocations/rq3-223-case-6941800e5dad967c8891
224,rq3-224-case-dc87cd42d1e9b184415b,case-dc87cd42d1e9b184415b,ai,positive,Netflix/metaflow,2467,refactor,invocations/rq3-224-case-dc87cd42d1e9b184415b
225,rq3-225-case-83dc15c25b665c37be9d,case-83dc15c25b665c37be9d,ai,positive,bambulab/BambuStudio,7345,feat,invocations/rq3-225-case-83dc15c25b665c37be9d
226,rq3-226-case-8770662c4f6043153da7,case-8770662c4f6043153da7,human,positive,crewAIInc/crewAI,2869,feat,invocations/rq3-226-case-8770662c4f6043153da7
227,rq3-227-case-d7154845bbf7bf4e183a,case-d7154845bbf7bf4e183a,human,positive,zenml-io/zenml,3314,fix,invocations/rq3-227-case-d7154845bbf7bf4e183a
228,rq3-228-case-85f1a4f70f22fb6fa58f,case-85f1a4f70f22fb6fa58f,human,positive,crewAIInc/crewAI,2727,feat,invocations/rq3-228-case-85f1a4f70f22fb6fa58f
229,rq3-229-case-ff75976eee40d72f7511,case-ff75976eee40d72f7511,ai,positive,openai/openai-agents-python,729,feat,invocations/rq3-229-case-ff75976eee40d72f7511
230,rq3-230-case-df4aa08de27bda8bfe40,case-df4aa08de27bda8bfe40,human,positive,jina-ai/node-DeepResearch,61,fix,invocations/rq3-230-case-df4aa08de27bda8bfe40
231,rq3-231-case-37aad921cd746c69ff61,case-37aad921cd746c69ff61,ai,positive,Kiln-AI/Kiln,358,fix,invocations/rq3-231-case-37aad921cd746c69ff61
232,rq3-232-case-acefa04717be9a7519dd,case-acefa04717be9a7519dd,human,control,prebid/Prebid.js,12924,feat,invocations/rq3-232-case-acefa04717be9a7519dd
233,rq3-233-case-3a0f70a817d7306d446f,case-3a0f70a817d7306d446f,ai,positive,NewFuture/DDNS,536,feat,invocations/rq3-233-case-3a0f70a817d7306d446f
234,rq3-234-case-9d5b1f099bc198089f82,case-9d5b1f099bc198089f82,human,positive,AgentOps-AI/agentops,915,feat,invocations/rq3-234-case-9d5b1f099bc198089f82
235,rq3-235-case-bc28a1aba4094e693c43,case-bc28a1aba4094e693c43,ai,control,prebid/Prebid.js,13511,refactor,invocations/rq3-235-case-bc28a1aba4094e693c43
236,rq3-236-case-8759efacbf1ad8eda644,case-8759efacbf1ad8eda644,human,positive,onlook-dev/onlook,2231,feat,invocations/rq3-236-case-8759efacbf1ad8eda644
237,rq3-237-case-890543742b2667251625,case-890543742b2667251625,ai,control,TobikoData/sqlmesh,5042,feat,invocations/rq3-237-case-890543742b2667251625
238,rq3-238-case-a8f8a3338967bf8c953b,case-a8f8a3338967bf8c953b,human,positive,MaiM-with-u/MaiBot,401,feat,invocations/rq3-238-case-a8f8a3338967bf8c953b
239,rq3-239-case-e644dabe399c62ffb568,case-e644dabe399c62ffb568,human,positive,voideditor/void,389,fix,invocations/rq3-239-case-e644dabe399c62ffb568
240,rq3-240-case-45ecc9b9b423e37da22e,case-45ecc9b9b423e37da22e,ai,positive,spcl/dace,2077,feat,invocations/rq3-240-case-45ecc9b9b423e37da22e
241,rq3-241-case-00977e0ec8aff7fcb678,case-00977e0ec8aff7fcb678,ai,control,getsentry/sentry,95780,feat,invocations/rq3-241-case-00977e0ec8aff7fcb678
242,rq3-242-case-36ffe6b241bac7e92bef,case-36ffe6b241bac7e92bef,ai,positive,mlflow/mlflow,16758,feat,invocations/rq3-242-case-36ffe6b241bac7e92bef
243,rq3-243-case-bb9f107e8c4492d808f0,case-bb9f107e8c4492d808f0,human,positive,marimo-team/marimo,3755,feat,invocations/rq3-243-case-bb9f107e8c4492d808f0
244,rq3-244-case-751c059c3e55e626a5f2,case-751c059c3e55e626a5f2,human,control,Kiln-AI/Kiln,384,refactor,invocations/rq3-244-case-751c059c3e55e626a5f2
245,rq3-245-case-942f9d868ba8d76f17e5,case-942f9d868ba8d76f17e5,ai,control,microsoft/autogen,6697,feat,invocations/rq3-245-case-942f9d868ba8d76f17e5
246,rq3-246-case-4095aca83f88f54e46ec,case-4095aca83f88f54e46ec,human,positive,bytebot-ai/bytebot,7,feat,invocations/rq3-246-case-4095aca83f88f54e46ec
247,rq3-247-case-db4252297ba545d8268f,case-db4252297ba545d8268f,human,control,wolfSSL/wolfssl,8760,refactor,invocations/rq3-247-case-db4252297ba545d8268f
248,rq3-248-case-7752a6d9d5c913b909f9,case-7752a6d9d5c913b909f9,human,positive,different-ai/note-companion,394,feat,invocations/rq3-248-case-7752a6d9d5c913b909f9
249,rq3-249-case-5c93ece3b9cd9e529584,case-5c93ece3b9cd9e529584,ai,control,3rdIteration/btcrecover,614,fix,invocations/rq3-249-case-5c93ece3b9cd9e529584
250,rq3-250-case-15a2421f1bcb68a912e0,case-15a2421f1bcb68a912e0,human,control,microsoft/onnxruntime,24489,feat,invocations/rq3-250-case-15a2421f1bcb68a912e0
251,rq3-251-case-2c3cde6b08772acb6fc2,case-2c3cde6b08772acb6fc2,human,positive,opencv/opencv,26842,feat,invocations/rq3-251-case-2c3cde6b08772acb6fc2
252,rq3-252-case-23301a5c36a69f5fffff,case-23301a5c36a69f5fffff,human,control,liam-hq/liam,1730,feat,invocations/rq3-252-case-23301a5c36a69f5fffff
253,rq3-253-case-5bc4ea80f1c42b093e67,case-5bc4ea80f1c42b093e67,ai,positive,willccbb/verifiers,161,feat,invocations/rq3-253-case-5bc4ea80f1c42b093e67
254,rq3-254-case-1882b202ff282a7c3526,case-1882b202ff282a7c3526,human,positive,getsentry/sentry,88748,fix,invocations/rq3-254-case-1882b202ff282a7c3526
255,rq3-255-case-baa524bc3570dded5648,case-baa524bc3570dded5648,ai,positive,OpenHFT/Chronicle-Wire,1060,refactor,invocations/rq3-255-case-baa524bc3570dded5648
256,rq3-256-case-cac1c1d447083f202a85,case-cac1c1d447083f202a85,ai,control,bruin-data/ingestr,261,feat,invocations/rq3-256-case-cac1c1d447083f202a85
257,rq3-257-case-bae92b7c92bcec6a9534,case-bae92b7c92bcec6a9534,human,control,OpenHFT/Chronicle-Wire,1063,refactor,invocations/rq3-257-case-bae92b7c92bcec6a9534
258,rq3-258-case-a08180d0d3a6396032fb,case-a08180d0d3a6396032fb,human,control,Azure/azure-sdk-for-python,41218,feat,invocations/rq3-258-case-a08180d0d3a6396032fb
259,rq3-259-case-c4f7afe4573a5fc51cc1,case-c4f7afe4573a5fc51cc1,human,positive,stack-auth/stack-auth,454,feat,invocations/rq3-259-case-c4f7afe4573a5fc51cc1
260,rq3-260-case-63f02cda0a1f10073dfa,case-63f02cda0a1f10073dfa,ai,positive,langbot-app/LangBot,1582,feat,invocations/rq3-260-case-63f02cda0a1f10073dfa
261,rq3-261-case-0e7910d93b1d2321cee6,case-0e7910d93b1d2321cee6,ai,control,microsoft/vscode-pull-request-github,7466,feat,invocations/rq3-261-case-0e7910d93b1d2321cee6
262,rq3-262-case-c1987dda9a6823c29fea,case-c1987dda9a6823c29fea,human,control,crewAIInc/crewAI,2905,feat,invocations/rq3-262-case-c1987dda9a6823c29fea
263,rq3-263-case-76a0ff6983e0ca3793b2,case-76a0ff6983e0ca3793b2,ai,positive,maplibre/maputnik,1262,feat,invocations/rq3-263-case-76a0ff6983e0ca3793b2
264,rq3-264-case-b33bef5e576af1887cd4,case-b33bef5e576af1887cd4,ai,control,Significant-Gravitas/AutoGPT,10304,feat,invocations/rq3-264-case-b33bef5e576af1887cd4
265,rq3-265-case-2ad9b8e9de705077d61e,case-2ad9b8e9de705077d61e,human,positive,Veloera/Veloera,73,fix,invocations/rq3-265-case-2ad9b8e9de705077d61e
266,rq3-266-case-97ffe4b940da60fc3723,case-97ffe4b940da60fc3723,human,positive,PriorLabs/TabPFN,184,feat,invocations/rq3-266-case-97ffe4b940da60fc3723
267,rq3-267-case-83c0f8f7a5df2722fc6c,case-83c0f8f7a5df2722fc6c,human,positive,prebid/Prebid.js,12666,feat,invocations/rq3-267-case-83c0f8f7a5df2722fc6c
