repo_name,task_type,ai_pr_n,human_pr_n,has_both_groups
microsoft/mcp-for-beginners,fix,1,0,False
microsoft/msquic,feat,0,2,False
microsoft/msquic,fix,3,2,True
microsoft/onnxruntime,feat,0,4,False
microsoft/onnxruntime,fix,1,2,True
microsoft/onnxruntime,refactor,0,1,False
microsoft/onnxruntime-genai,feat,0,1,False
microsoft/onnxruntime-genai,fix,2,0,False
microsoft/playwright,feat,0,2,False
microsoft/playwright,fix,1,2,True
microsoft/playwright-mcp,fix,0,1,False
microsoft/react-native-macos,fix,1,1,True
microsoft/react-native-windows,feat,6,5,True
microsoft/react-native-windows,fix,0,6,False
microsoft/retina,feat,1,0,False
microsoft/retina,fix,0,1,False
microsoft/roosterjs,fix,0,1,False
microsoft/torchgeo,fix,1,0,False
microsoft/typespec,feat,4,7,True
microsoft/typespec,fix,3,15,True
microsoft/typespec,refactor,0,1,False
microsoft/vscode,feat,19,15,True
microsoft/vscode,fix,36,35,True
microsoft/vscode,refactor,2,11,True
microsoft/vscode-copilot-chat,feat,1,0,False
microsoft/vscode-copilot-chat,fix,1,0,False
microsoft/vscode-copilot-chat,refactor,1,0,False
microsoft/vscode-js-debug,feat,1,0,False
microsoft/vscode-jupyter,fix,0,1,False
microsoft/vscode-jupyter,refactor,0,1,False
microsoft/vscode-mssql,feat,2,1,True
microsoft/vscode-mssql,fix,8,3,True
microsoft/vscode-pull-request-github,feat,17,0,False
microsoft/vscode-pull-request-github,fix,9,1,True
microsoft/vscode-pull-request-github,refactor,2,0,False
microsoft/vscode-python,feat,1,1,True
microsoft/vscode-python,fix,0,2,False
microsoft/vscode-vsce,feat,1,1,True
midudev/codi.link,fix,0,2,False
midudev/la-velada-web-oficial,feat,1,0,False
midudev/preguntas-entrevista-react,feat,1,0,False
mihneadb/node-directory-tree,fix,2,0,False
mihneadb/node-directory-tree,refactor,1,0,False
minimagick/minimagick,fix,1,0,False
minio/sidekick,fix,1,0,False
mistralai/mistral-common,feat,0,2,False
mistralai/mistral-common,fix,3,0,False
mistralai/mistral-common,refactor,0,1,False
miurla/morphic,feat,2,2,True
miurla/morphic,fix,3,0,False
miurla/morphic,refactor,0,1,False
mlflow/mlflow,feat,21,16,True
mlflow/mlflow,fix,28,22,True
mlflow/mlflow,refactor,6,2,True
modelcontextprotocol/inspector,feat,1,1,True
modelcontextprotocol/inspector,fix,1,1,True
modelcontextprotocol/modelcontextprotocol,feat,1,0,False
modelcontextprotocol/modelcontextprotocol,refactor,1,0,False
modelcontextprotocol/registry,feat,1,0,False
module-federation/core,feat,3,0,False
module-federation/core,fix,2,0,False
mondaycom/vibe,fix,0,1,False
morphik-org/morphik-core,fix,0,1,False
mrwadams/stride-gpt,feat,1,1,True
mtrojnar/osslsigncode,feat,2,2,True
mtrojnar/osslsigncode,fix,7,4,True
musescore/MuseScore,feat,1,0,False
mvisonneau/gitlab-ci-pipelines-exporter,feat,0,1,False
mvisonneau/gitlab-ci-pipelines-exporter,fix,3,1,True
navidrome/navidrome,feat,1,0,False
navidrome/navidrome,fix,0,1,False
nemtsov/json-mask,fix,2,0,False
netbirdio/netbird,refactor,0,1,False
netket/netket,feat,1,2,True
netket/netket,fix,2,1,True
nextcloud/desktop,feat,1,0,False
nextcloud/desktop,fix,4,0,False
noneback/go-taskflow,feat,1,0,False
novuhq/novu,feat,16,12,True
novuhq/novu,fix,43,21,True
novuhq/novu,refactor,0,1,False
nrwl/nx,feat,3,1,True
nrwl/nx,fix,0,2,False
nrwl/nx-console,feat,1,0,False
nrwl/nx-console,fix,4,3,True
objectionary/eo,fix,2,2,True
objectionary/eo,refactor,1,0,False
odigos-io/odigos,feat,2,0,False
odigos-io/odigos,fix,0,1,False
oekazuma/svelte-meta-tags,feat,1,0,False
okteto/okteto,fix,0,1,False
onetimesecret/onetimesecret,feat,1,0,False
onetimesecret/onetimesecret,refactor,1,0,False
onflow/flow-go,fix,2,0,False
onflow/flow-go,refactor,1,0,False
onlook-dev/onlook,feat,33,44,True
onlook-dev/onlook,fix,20,47,True
onlook-dev/onlook,refactor,2,7,True
onnx/onnx,feat,1,0,False
onnx/onnx,fix,1,1,True
onyx-dot-app/onyx,feat,2,3,True
onyx-dot-app/onyx,fix,2,6,True
opal/opal,fix,1,0,False
open-webui/open-webui,fix,1,1,True
openai/openai-agents-js,feat,7,0,False
openai/openai-agents-js,fix,5,6,True
openai/openai-agents-python,feat,5,1,True
openai/openai-agents-python,fix,5,3,True
openai/openai-agents-python,refactor,1,0,False
openai/openai-realtime-agents,refactor,0,1,False
opencv/opencv,feat,1,2,True
opencv/opencv,fix,1,0,False
openfga/openfga,fix,2,0,False
opengisch/QField,fix,0,1,False
openops-cloud/openops,feat,1,4,True
openops-cloud/openops,fix,0,7,False
openops-cloud/openops,refactor,2,0,False
operator-framework/operator-sdk,fix,0,1,False
opral/monorepo,feat,1,0,False
optiscaler/OptiScaler,feat,0,1,False
optiscaler/OptiScaler,fix,0,1,False
oraios/serena,feat,1,0,False
oraios/serena,fix,1,1,True
oraios/serena,refactor,1,0,False
oras-project/oras,fix,1,0,False
oss-apps/split-pro,feat,1,0,False
owid/owid-grapher,feat,1,0,False
owncast/owncast,feat,1,1,True
owncast/owncast,fix,2,1,True
parse-community/Parse-SDK-JS,fix,1,0,False
parse-community/parse-dashboard,feat,16,0,False
parse-community/parse-dashboard,fix,14,0,False
patched-codes/patchwork,feat,1,0,False
pdfme/pdfme,feat,9,5,True
pdfme/pdfme,fix,16,6,True
pdfme/pdfme,refactor,2,0,False
pdm-project/pdm,fix,1,0,False
pickle-com/glass,fix,1,0,False
pingdotgg/uploadthing,feat,0,1,False
pingdotgg/uploadthing,fix,1,0,False
pionxzh/chatgpt-exporter,fix,1,0,False
pixijs/pixijs,fix,2,3,True
plantuml/plantuml,fix,1,0,False
pomerium/pomerium,fix,2,0,False
prebid/Prebid.js,feat,6,36,True
prebid/Prebid.js,fix,35,21,True
prebid/Prebid.js,refactor,16,5,True
primer/react,feat,3,4,True
primer/react,fix,1,4,True
primer/react,refactor,1,1,True
primer/view_components,feat,0,1,False
primer/view_components,fix,4,0,False
primer/view_components,refactor,3,0,False
projectdiscovery/cvemap,feat,1,0,False
projectdiscovery/tlsx,refactor,1,0,False
promptfoo/promptfoo,feat,14,7,True
promptfoo/promptfoo,fix,12,16,True
promptfoo/promptfoo,refactor,3,4,True
prosekit/prosekit,fix,2,1,True
pterm/pterm,feat,0,2,False
pterm/pterm,fix,4,1,True
puemos/hls-downloader,fix,2,0,False
pulumi/pulumi,fix,1,1,True
pwa-builder/PWABuilder,fix,2,0,False
pydata/pandas-datareader,fix,0,1,False
python-cachier/cachier,feat,2,0,False
python-cachier/cachier,fix,1,0,False
python/devguide,feat,1,0,False
qax-os/excelize,feat,1,0,False
qmk/qmk_firmware,fix,1,0,False
quiltdata/quilt,feat,1,0,False
radius-project/radius,fix,1,0,False
ray-project/kuberay,refactor,0,1,False
ray-project/ray,feat,0,1,False
razimantv/mazegenerator,feat,1,1,True
rcaloras/bashhub-client,fix,0,1,False
rcourtman/Pulse,feat,1,0,False
recallnet/js-recall,fix,0,1,False
reflex-dev/reflex,feat,2,2,True
reflex-dev/reflex,fix,1,0,False
reflex-dev/reflex,refactor,1,0,False
remotion-dev/remotion,feat,20,24,True
remotion-dev/remotion,fix,7,13,True
remotion-dev/remotion,refactor,2,2,True
reown-com/appkit,feat,10,6,True
reown-com/appkit,fix,7,6,True
resonatehq/resonate,feat,1,0,False
ricktu288/ray-optics,fix,2,0,False
rinadelph/Agent-MCP,fix,1,0,False
robinkarlberg/transfer.zip-web,feat,4,0,False
robinkarlberg/transfer.zip-web,fix,3,0,False
roblox-ts/roblox-ts,fix,1,0,False
roboflow/inference,feat,3,6,True
roboflow/inference,fix,7,3,True
root-gg/plik,fix,2,0,False
rqlite/rqlite,feat,7,4,True
rqlite/rqlite,fix,0,1,False
rqlite/rqlite,refactor,1,0,False
rsyslog/rsyslog,feat,4,2,True
rsyslog/rsyslog,fix,13,10,True
rsyslog/rsyslog,refactor,0,3,False
ruvnet/claude-flow,feat,1,0,False
ruvnet/claude-flow,fix,2,0,False
ryokun6/ryos,feat,62,0,False
ryokun6/ryos,fix,50,0,False
ryokun6/ryos,refactor,13,0,False
ryoppippi/ccusage,fix,1,0,False
safedep/vet,feat,1,0,False
safedep/vet,fix,1,0,False
sakaiproject/sakai,feat,1,0,False
sakaiproject/sakai,fix,1,1,True
sakaiproject/sakai,refactor,0,1,False
sam-goodwin/alchemy,feat,9,13,True
sam-goodwin/alchemy,fix,1,3,True
samayo/country-json,feat,1,0,False
samayo/country-json,fix,3,0,False
samchon/nestia,fix,1,0,False
satmihir/fair,fix,2,0,False
satmihir/fair,refactor,1,1,True
saturday06/VRM-Addon-for-Blender,fix,2,0,False
savoirfairelinux/opendht,fix,1,0,False
schemahero/schemahero,feat,2,0,False
schemahero/schemahero,fix,0,1,False
sdorra/content-collections,fix,1,0,False
seasonedcc/composable-functions,feat,0,1,False
seasonedcc/remix-forms,feat,4,4,True
seasonedcc/remix-forms,fix,4,10,True
seasonedcc/remix-forms,refactor,3,8,True
sebastianwessel/quickjs,feat,1,0,False
sebastianwessel/quickjs,fix,2,1,True
secretlint/secretlint,fix,2,0,False
seladb/PcapPlusPlus,feat,1,0,False
shabegom/buttons,feat,1,0,False
shader-slang/slang,feat,4,0,False
shader-slang/slang,fix,13,0,False
shivammathur/setup-php,feat,3,0,False
shoelace-style/shoelace,fix,0,1,False
silvery107/rl-mpc-locomotion,fix,1,0,False
simonw/llm,fix,1,0,False
simonw/llm,refactor,0,1,False
skypilot-org/skypilot,fix,2,2,True
smtg-ai/claude-squad,fix,0,1,False
sooperset/mcp-atlassian,fix,1,0,False
sourcebot-dev/sourcebot,feat,0,1,False
spcl/dace,feat,3,1,True
spcl/dace,fix,0,6,False
spcl/dace,refactor,0,1,False
spring-projects/spring-kafka,fix,0,1,False
stack-auth/stack-auth,feat,10,12,True
stack-auth/stack-auth,fix,1,7,True
stack-auth/stack-auth,refactor,1,2,True
stair-lab/kg-gen,fix,0,1,False
stanford-crfm/levanter,feat,11,1,True
stanford-crfm/levanter,fix,19,1,True
stanford-crfm/levanter,refactor,8,0,False
stanfordnlp/dspy,feat,2,2,True
stanfordnlp/dspy,fix,6,3,True
strapi/documentation,feat,1,0,False
strawberry-graphql/strawberry,fix,1,0,False
strawberry-graphql/strawberry,refactor,0,1,False
streamich/json-joy,fix,1,0,False
streamich/memfs,feat,1,0,False
streamich/memfs,fix,1,0,False
strnad/CrewAI-Studio,fix,1,0,False
strnad/CrewAI-Studio,refactor,1,0,False
subzeroid/instagrapi,fix,0,1,False
supabase/supabase,feat,0,1,False
superagent-ai/vibekit,feat,3,0,False
superagent-ai/vibekit,fix,1,0,False
superfly/flyctl,feat,1,0,False
superlinear-ai/raglite,feat,1,0,False
syedazharmbnr1/claude-chatgpt-mcp,feat,0,1,False
syedazharmbnr1/claude-chatgpt-mcp,fix,1,0,False
syntasso/kratix,feat,2,3,True
syntasso/kratix,fix,1,2,True
sysadminsmedia/homebox,fix,6,0,False
tact-lang/tact,feat,0,1,False
tact-lang/tact,fix,1,1,True
taiga-family/taiga-ui,fix,1,0,False
tavily-ai/tavily-mcp,fix,0,1,False
tegnike/aituber-kit,feat,8,15,True
tegnike/aituber-kit,fix,3,0,False
temporalio/sdk-go,fix,1,1,True
temporalio/temporal,feat,1,4,True
temporalio/temporal,fix,2,1,True
temporalio/temporal,refactor,1,0,False
test-zeus-ai/testzeus-hercules,feat,0,1,False
textlint/textlint,fix,1,0,False
thefrontside/effection,fix,0,1,False
theturtle32/WebSocket-Node,fix,2,0,False
theturtle32/WebSocket-Node,refactor,0,1,False
thirdweb-dev/js,feat,13,8,True
thirdweb-dev/js,fix,2,0,False
thirdweb-dev/js,refactor,7,1,True
thomasahle/sunfish,fix,1,0,False
thomasxm/BOAZ_beta,fix,1,0,False
thrasher-corp/gocryptotrader,fix,2,0,False
thrasher-corp/gocryptotrader,refactor,1,0,False
tinygrad/tinygrad,feat,0,1,False
tinygrad/tinygrad,fix,2,4,True
tinygrad/tinygrad,refactor,0,1,False
tinyplex/tinybase,feat,0,1,False
tinyplex/tinybase,fix,2,0,False
tldraw/tldraw,feat,3,2,True
tldraw/tldraw,fix,5,4,True
tldraw/tldraw,refactor,0,1,False
toeverything/AFFiNE,feat,0,1,False
toeverything/AFFiNE,refactor,0,1,False
tokens-studio/figma-plugin,feat,5,6,True
tokens-studio/figma-plugin,fix,5,14,True
tolwi/hassio-ecoflow-cloud,feat,1,0,False
topfunky/gruff,fix,1,0,False
traccar/traccar,feat,0,1,False
traccar/traccar,fix,2,1,True
traccar/traccar-web,feat,1,1,True
traccar/traccar-web,fix,1,0,False
tradingview/lightweight-charts,feat,0,1,False
transloadit/uppy,feat,1,0,False
transloadit/uppy,refactor,2,0,False
triggerdotdev/trigger.dev,feat,0,1,False
triggerdotdev/trigger.dev,fix,0,2,False
trycompai/comp,feat,6,7,True
trycompai/comp,fix,10,6,True
trycompai/comp,refactor,2,2,True
trylinky/linky,fix,2,0,False
tszhong0411/nelsonlai.me,fix,1,0,False
twentyhq/twenty,feat,1,2,True
twentyhq/twenty,fix,2,1,True
twentyhq/twenty,refactor,0,1,False
ucbepic/docetl,feat,1,0,False
ucbepic/docetl,fix,1,0,False
ucbepic/docetl,refactor,2,0,False
ukrbublik/react-awesome-query-builder,refactor,1,0,False
unclecode/crawl4ai,feat,3,0,False
unclecode/crawl4ai,fix,3,0,False
unibeck/solstatus,feat,3,3,True
unsend-dev/unsend,feat,1,5,True
unsend-dev/unsend,fix,3,0,False
useautumn/autumn,feat,1,0,False
useautumn/autumn,fix,1,0,False
usememos/memos,fix,1,0,False
uxlfoundation/oneDAL,feat,0,1,False
uxlfoundation/oneDAL,fix,1,0,False
valkey-io/valkey-glide,fix,17,0,False
vdaas/vald,feat,2,3,True
vdaas/vald,fix,1,3,True
vercel/next.js,feat,0,1,False
vercel/vercel,feat,1,0,False
vercel/vercel,fix,0,1,False
vgmtrans/vgmtrans,fix,0,1,False
vgmtrans/vgmtrans,refactor,1,0,False
vitejs/vite,fix,1,0,False
vitejs/vite-plugin-react,feat,1,0,False
vllm-project/vllm,fix,1,1,True
vlm-run/vlmrun-hub,feat,10,4,True
vlm-run/vlmrun-hub,fix,1,3,True
voideditor/void,fix,0,1,False
volcengine/verl,feat,0,1,False
wailsapp/wails,feat,0,1,False
wait4x/wait4x,fix,1,0,False
wait4x/wait4x,refactor,0,1,False
wandb/wandb,refactor,0,1,False
wandb/weave,feat,3,0,False
wandb/weave,fix,1,1,True
wechaty/wechaty,fix,1,0,False
wei/socialify,feat,1,1,True
wei/socialify,fix,0,1,False
wgzhao/Addax,feat,1,0,False
whitphx/stlite,feat,0,1,False
whitphx/stlite,fix,1,1,True
whitphx/stlite,refactor,1,0,False
whitphx/streamlit-webrtc,fix,0,1,False
willccbb/verifiers,feat,3,0,False
willccbb/verifiers,fix,1,0,False
winedarksea/AutoTS,fix,1,0,False
wix/react-native-ui-lib,feat,3,2,True
wix/react-native-ui-lib,fix,0,6,False
wix/react-native-ui-lib,refactor,0,3,False
wizarrrr/wizarr,feat,3,1,True
wizarrrr/wizarr,fix,0,1,False
wizarrrr/wizarr,refactor,1,1,True
wolfSSL/wolfMQTT,fix,1,0,False
wolfSSL/wolfssl,feat,2,2,True
wolfSSL/wolfssl,fix,0,10,False
wolfSSL/wolfssl,refactor,0,2,False
wonderwhy-er/DesktopCommanderMCP,feat,0,1,False
writer/writer-framework,feat,0,2,False
writer/writer-framework,fix,3,4,True
wuba/react-native-echarts,refactor,1,0,False
x64dbg/x64dbg,refactor,1,0,False
xtermjs/xterm.js,fix,1,2,True
yamadashy/repomix,feat,15,14,True
yamadashy/repomix,fix,2,4,True
yamadashy/repomix,refactor,1,2,True
yeasy/blockchain_guide,fix,1,0,False
yegor256/cactoos,fix,0,1,False
yoshiko-pg/difit,feat,3,0,False
yutto-dev/yutto,refactor,1,0,False
yysun/apprun,feat,1,0,False
yysun/apprun,refactor,1,0,False
yytypescript/book,feat,0,1,False
yytypescript/book,fix,3,1,True
zaidmukaddam/scira,fix,1,0,False
zauberzeug/nicegui,feat,0,1,False
zauberzeug/nicegui,refactor,1,0,False
zenml-io/zenml,feat,0,1,False
zenml-io/zenml,fix,4,8,True
zeroc-ice/ice,feat,0,1,False
zeroc-ice/ice,fix,2,1,True
zeroc-ice/ice,refactor,0,1,False
zoidsh/meru,feat,1,0,False
zuiidea/antd-admin,fix,1,0,False
zwave-js/zwave-js,fix,1,0,False
